--------------------results---------------------
man_speed,car_speed,average_time_use_of_method_1,average_time_use_of_method_2,average_time_use_of_method_3
2.100000,3.200000,143.529260,136.385156,121.720176
2.100000,3.300000,147.031920,139.238352,123.240192
2.100000,3.400000,150.534580,142.091548,124.760208
2.100000,3.500000,154.037240,144.944744,126.280224
2.100000,3.600000,157.539900,147.797940,127.800240
2.100000,3.700000,161.042560,150.651136,129.320256
2.100000,3.800000,164.545220,153.504332,130.840272
2.100000,3.900000,168.047880,156.357528,132.360288
2.100000,4.000000,171.550540,159.210724,133.880304
2.100000,4.100000,175.053200,162.063920,135.400320
2.100000,4.200000,178.555860,164.917116,136.920336
2.100000,4.300000,182.058520,167.770312,138.440352
2.100000,4.400000,185.561180,170.623508,139.960368
2.100000,4.500000,189.063840,173.476704,141.480384
2.100000,4.600000,192.566500,176.329900,143.000400
2.100000,4.700000,196.069160,179.183096,144.520416
2.100000,4.800000,199.571820,182.036292,146.040432
2.100000,4.900000,203.074480,184.889488,147.560448
2.200000,3.000000,138.021280,132.825568,122.160128
2.200000,3.100000,141.523940,135.678764,123.680144
2.200000,3.200000,145.026600,138.531960,125.200160
2.200000,3.300000,148.529260,141.385156,126.720176
2.200000,3.400000,152.031920,144.238352,128.240192
2.200000,3.500000,155.534580,147.091548,129.760208
2.200000,3.600000,159.037240,149.944744,131.280224
2.200000,3.700000,162.539900,152.797940,132.800240
2.200000,3.800000,166.042560,155.651136,134.320256
2.200000,3.900000,169.545220,158.504332,135.840272
2.200000,4.000000,173.047880,161.357528,137.360288
2.200000,4.100000,176.550540,164.210724,138.880304
2.200000,4.200000,180.053200,167.063920,140.400320
2.200000,4.300000,183.555860,169.917116,141.920336
2.200000,4.400000,187.058520,172.770312,143.440352
2.200000,4.500000,190.561180,175.623508,144.960368
2.200000,4.600000,194.063840,178.476704,146.480384
2.200000,4.700000,197.566500,181.329900,148.000400
2.200000,4.800000,201.069160,184.183096,149.520416
2.200000,4.900000,204.571820,187.036292,151.040432
2.300000,3.000000,139.518620,134.972372,125.640112
2.300000,3.100000,143.021280,137.825568,127.160128
2.300000,3.200000,146.523940,140.678764,128.680144
2.300000,3.300000,150.026600,143.531960,130.200160
2.300000,3.400000,153.529260,146.385156,131.720176
2.300000,3.500000,157.031920,149.238352,133.240192
2.300000,3.600000,160.534580,152.091548,134.760208
2.300000,3.700000,164.037240,154.944744,136.280224
2.300000,3.800000,167.539900,157.797940,137.800240
2.300000,3.900000,171.042560,160.651136,139.320256
2.300000,4.000000,174.545220,163.504332,140.840272
2.300000,4.100000,178.047880,166.357528,142.360288
2.300000,4.200000,181.550540,169.210724,143.880304
2.300000,4.300000,185.053200,172.063920,145.400320
2.300000,4.400000,188.555860,174.917116,146.920336
2.300000,4.500000,192.058520,177.770312,148.440352
2.300000,4.600000,195.561180,180.623508,149.960368
2.300000,4.700000,199.063840,183.476704,151.480384
2.300000,4.800000,202.566500,186.329900,153.000400
2.300000,4.900000,206.069160,189.183096,154.520416
2.400000,3.000000,141.015960,137.119176,129.120096
2.400000,3.100000,144.518620,139.972372,130.640112
2.400000,3.200000,148.021280,142.825568,132.160128
2.400000,3.300000,151.523940,145.678764,133.680144
2.400000,3.400000,155.026600,148.531960,135.200160
2.400000,3.500000,158.529260,151.385156,136.720176
2.400000,3.600000,162.031920,154.238352,138.240192
2.400000,3.700000,165.534580,157.091548,139.760208
2.400000,3.800000,169.037240,159.944744,141.280224
2.400000,3.900000,172.539900,162.797940,142.800240
2.400000,4.000000,176.042560,165.651136,144.320256
2.400000,4.100000,179.545220,168.504332,145.840272
2.400000,4.200000,183.047880,171.357528,147.360288
2.400000,4.300000,186.550540,174.210724,148.880304
2.400000,4.400000,190.053200,177.063920,150.400320
2.400000,4.500000,193.555860,179.917116,151.920336
2.400000,4.600000,197.058520,182.770312,153.440352
2.400000,4.700000,200.561180,185.623508,154.960368
2.400000,4.800000,204.063840,188.476704,156.480384
2.400000,4.900000,207.566500,191.329900,158.000400
2.500000,3.000000,142.513300,139.265980,132.600080
2.500000,3.100000,146.015960,142.119176,134.120096
2.500000,3.200000,149.518620,144.972372,135.640112
2.500000,3.300000,153.021280,147.825568,137.160128
2.500000,3.400000,156.523940,150.678764,138.680144
2.500000,3.500000,160.026600,153.531960,140.200160
2.500000,3.600000,163.529260,156.385156,141.720176
2.500000,3.700000,167.031920,159.238352,143.240192
2.500000,3.800000,170.534580,162.091548,144.760208
2.500000,3.900000,174.037240,164.944744,146.280224
2.500000,4.000000,177.539900,167.797940,147.800240
2.500000,4.100000,181.042560,170.651136,149.320256
2.500000,4.200000,184.545220,173.504332,150.840272
2.500000,4.300000,188.047880,176.357528,152.360288
2.500000,4.400000,191.550540,179.210724,153.880304
2.500000,4.500000,195.053200,182.063920,155.400320
2.500000,4.600000,198.555860,184.917116,156.920336
2.500000,4.700000,202.058520,187.770312,158.440352
2.500000,4.800000,205.561180,190.623508,159.960368
2.500000,4.900000,209.063840,193.476704,161.480384
2.600000,3.000000,144.010640,141.412784,136.080064
2.600000,3.100000,147.513300,144.265980,137.600080
2.600000,3.200000,151.015960,147.119176,139.120096
2.600000,3.300000,154.518620,149.972372,140.640112
2.600000,3.400000,158.021280,152.825568,142.160128
2.600000,3.500000,161.523940,155.678764,143.680144
2.600000,3.600000,165.026600,158.531960,145.200160
2.600000,3.700000,168.529260,161.385156,146.720176
2.600000,3.800000,172.031920,164.238352,148.240192
2.600000,3.900000,175.534580,167.091548,149.760208
2.600000,4.000000,179.037240,169.944744,151.280224
2.600000,4.100000,182.539900,172.797940,152.800240
2.600000,4.200000,186.042560,175.651136,154.320256
2.600000,4.300000,189.545220,178.504332,155.840272
2.600000,4.400000,193.047880,181.357528,157.360288
2.600000,4.500000,196.550540,184.210724,158.880304
2.600000,4.600000,200.053200,187.063920,160.400320
2.600000,4.700000,203.555860,189.917116,161.920336
2.600000,4.800000,207.058520,192.770312,163.440352
2.600000,4.900000,210.561180,195.623508,164.960368
2.700000,3.000000,145.507980,143.559588,139.560048
2.700000,3.100000,149.010640,146.412784,141.080064
2.700000,3.200000,152.513300,149.265980,142.600080
2.700000,3.300000,156.015960,152.119176,144.120096
2.700000,3.400000,159.518620,154.972372,145.640112
2.700000,3.500000,163.021280,157.825568,147.160128
2.700000,3.600000,166.523940,160.678764,148.680144
2.700000,3.700000,170.026600,163.531960,150.200160
2.700000,3.800000,173.529260,166.385156,151.720176
2.700000,3.900000,177.031920,169.238352,153.240192
2.700000,4.000000,180.534580,172.091548,154.760208
2.700000,4.100000,184.037240,174.944744,156.280224
2.700000,4.200000,187.539900,177.797940,157.800240
2.700000,4.300000,191.042560,180.651136,159.320256
2.700000,4.400000,194.545220,183.504332,160.840272
2.700000,4.500000,198.047880,186.357528,162.360288
2.700000,4.600000,201.550540,189.210724,163.880304
2.700000,4.700000,205.053200,192.063920,165.400320
2.700000,4.800000,208.555860,194.917116,166.920336
2.700000,4.900000,212.058520,197.770312,168.440352
2.800000,3.000000,147.005320,145.706392,143.040032
2.800000,3.100000,150.507980,148.559588,144.560048
2.800000,3.200000,154.010640,151.412784,146.080064
2.800000,3.300000,157.513300,154.265980,147.600080
2.800000,3.400000,161.015960,157.119176,149.120096
2.800000,3.500000,164.518620,159.972372,150.640112
2.800000,3.600000,168.021280,162.825568,152.160128
2.800000,3.700000,171.523940,165.678764,153.680144
2.800000,3.800000,175.026600,168.531960,155.200160
2.800000,3.900000,178.529260,171.385156,156.720176
2.800000,4.000000,182.031920,174.238352,158.240192
2.800000,4.100000,185.534580,177.091548,159.760208
2.800000,4.200000,189.037240,179.944744,161.280224
2.800000,4.300000,192.539900,182.797940,162.800240
2.800000,4.400000,196.042560,185.651136,164.320256
2.800000,4.500000,199.545220,188.504332,165.840272
2.800000,4.600000,203.047880,191.357528,167.360288
2.800000,4.700000,206.550540,194.210724,168.880304
2.800000,4.800000,210.053200,197.063920,170.400320
2.800000,4.900000,213.555860,199.917116,171.920336
2.900000,3.000000,148.502660,147.853196,146.520016
2.900000,3.100000,152.005320,150.706392,148.040032
2.900000,3.200000,155.507980,153.559588,149.560048
2.900000,3.300000,159.010640,156.412784,151.080064
2.900000,3.400000,162.513300,159.265980,152.600080
2.900000,3.500000,166.015960,162.119176,154.120096
2.900000,3.600000,169.518620,164.972372,155.640112
2.900000,3.700000,173.021280,167.825568,157.160128
2.900000,3.800000,176.523940,170.678764,158.680144
2.900000,3.900000,180.026600,173.531960,160.200160
2.900000,4.000000,183.529260,176.385156,161.720176
2.900000,4.100000,187.031920,179.238352,163.240192
2.900000,4.200000,190.534580,182.091548,164.760208
2.900000,4.300000,194.037240,184.944744,166.280224
2.900000,4.400000,197.539900,187.797940,167.800240
2.900000,4.500000,201.042560,190.651136,169.320256
2.900000,4.600000,204.545220,193.504332,170.840272
2.900000,4.700000,208.047880,196.357528,172.360288
2.900000,4.800000,211.550540,199.210724,173.880304
2.900000,4.900000,215.053200,202.063920,175.400320
